year	metric	pct_yes	n
2010	code_available	0.4148053605615826	3134
2011	code_available	0.4735128736312519	3379
2012	code_available	0.9383063570255689	4263
2013	code_available	2.089783281733746	5168
2014	code_available	4.255694861380894	5663
2015	code_available	6.125984251968504	6350
2016	code_available	9.035675338837827	6419
2017	code_available	13.883901855176543	6684
2018	code_available	17.00932192567999	7831
2019	code_available	22.57956448911223	8955
2020	code_available	25.907147827815884	10059
2021	code_available	29.147061339721102	11689
2022	code_available	27.770402186645843	12805
2023	code_available	34.80208428558369	10939
2024	code_available	35.76688573917175	12629
2025	code_available	35.76515546291471	11514
2010	data_public_repo	53.446075303126996	3134
2011	data_public_repo	53.181414619709976	3379
2012	data_public_repo	54.726718273516305	4263
2013	data_public_repo	56.075851393188856	5168
2014	data_public_repo	60.93943139678616	5663
2015	data_public_repo	58.56692913385827	6350
2016	data_public_repo	59.417354728150805	6419
2017	data_public_repo	61.59485338120886	6684
2018	data_public_repo	62.11211850338398	7831
2019	data_public_repo	65.80681183696258	8955
2020	data_public_repo	66.89531762600656	10059
2021	data_public_repo	69.12481820515013	11689
2022	data_public_repo	68.2233502538071	12805
2023	data_public_repo	71.67931255142152	10939
2024	data_public_repo	73.43415947422599	12629
2025	data_public_repo	73.79711655376065	11514
2010	dataset_doi_present	51.21250797702616	3134
2011	dataset_doi_present	52.559928973068956	3379
2012	dataset_doi_present	49.495660333098755	4263
2013	dataset_doi_present	50.599845201238395	5168
2014	dataset_doi_present	53.16969803990818	5663
2015	dataset_doi_present	51.29133858267717	6350
2016	dataset_doi_present	51.923975697149096	6419
2017	dataset_doi_present	56.47815679233992	6684
2018	dataset_doi_present	59.060145575277744	7831
2019	dataset_doi_present	64.3104410943607	8955
2020	dataset_doi_present	66.71637339695795	10059
2021	dataset_doi_present	69.06493284284369	11689
2022	dataset_doi_present	70.82389691526747	12805
2023	dataset_doi_present	71.8895694304781	10939
2024	dataset_doi_present	71.93760392746853	12629
2025	dataset_doi_present	72.6941115164148	11514
2010	protocol_shared	0.4786215698787492	3134
2011	protocol_shared	0.17756732761171945	3379
2012	protocol_shared	0.16420361247947454	4263
2013	protocol_shared	0.30959752321981426	5168
2014	protocol_shared	0.4061451527458944	5663
2015	protocol_shared	0.3464566929133858	6350
2016	protocol_shared	0.5608350210313133	6419
2017	protocol_shared	0.49371633752244165	6684
2018	protocol_shared	0.753415911122462	7831
2019	protocol_shared	0.8821887213847014	8955
2020	protocol_shared	2.7935182423700167	10059
2021	protocol_shared	2.968602960047908	11689
2022	protocol_shared	2.6552128074970716	12805
2023	protocol_shared	3.4829509095895417	10939
2024	protocol_shared	3.325678992794362	12629
2025	protocol_shared	3.1005732152162584	11514
2010	source_data_present	3.4779834077855774	3134
2011	source_data_present	3.0778336786031373	3379
2012	source_data_present	3.2606145906638515	4263
2013	source_data_present	2.9605263157894735	5168
2014	source_data_present	3.3551121313791272	5663
2015	source_data_present	4.551181102362205	6350
2016	source_data_present	8.069792802617231	6419
2017	source_data_present	9.934171154997008	6684
2018	source_data_present	11.250159622015069	7831
2019	source_data_present	24.63428252372976	8955
2020	source_data_present	31.563773734963714	10059
2021	source_data_present	32.979724527333396	11689
2022	source_data_present	35.32994923857868	12805
2023	source_data_present	45.744583599963434	10939
2024	source_data_present	53.163354184812725	12629
2025	source_data_present	57.84262636789995	11514
