journal	Gold	Silver	Bronze	None
Cell genomics	77.24867724867724	12.698412698412698	6.878306878306878	3.1746031746031744
NAR genomics and bioinformatics	70.35087719298245	19.298245614035086	10.350877192982457	0.0
Nature genetics	48.728465955701395	29.45036915504512	15.832649712879409	5.988515176374077
Genome biology	46.314941602899715	40.0724929520741	7.088199758356827	6.524365686669352
The EMBO journal	39.265357821405956	42.30525649145028	13.679544015199493	4.749841671944269
Cell	38.00298062593144	45.90163934426229	6.557377049180328	9.538002980625931
Genome research	37.41424802110818	52.401055408970976	9.129287598944591	1.0554089709762533
eLife	37.228963596578474	40.44161527750149	19.952257807837675	2.3771633180823555
Molecular systems biology	37.17059639389736	39.80582524271845	19.14008321775312	3.8834951456310676
Nature	36.31349115145944	42.1282463801425	11.261778901401977	10.296483566996093
Bioinformatics (Oxford, England)	35.297254065582514	20.15462543321781	39.829378832311384	4.718741668888296
EMBO reports	30.875202593192867	41.73419773095624	22.042139384116695	5.348460291734198
PLoS biology	29.90179478496444	38.09685066034541	19.37013206908229	12.631222485607857
Nature communications	28.78648015337641	32.346327723733104	32.82917938886128	6.038012734029207
Science (New York, N.Y.)	23.384615384615383	57.84615384615385	10.76923076923077	8.0
BMC bioinformatics	21.579040538148345	33.82899628252788	39.989378651088686	4.602584528235086
PLoS genetics	18.885017421602786	50.19163763066202	16.794425087108014	14.128919860627178
Nature medicine	16.583333333333332	41.0	25.583333333333336	16.833333333333332
BMC genomics	13.027795459367706	65.57394440908126	17.398684489709314	3.999575641841714
Nucleic acids research	12.71680216802168	56.077235772357724	15.426829268292682	15.779132791327912
Frontiers in genetics	8.474686847599164	50.508872651356995	24.569415448851775	16.447025052192068
Lancet (London, England)	1.2698412698412698	11.851851851851853	23.597883597883598	63.28042328042328
