journal	year	Gold	Silver	Bronze	None
BMC bioinformatics	2010	0.9900990099009901	46.73267326732673	42.57425742574257	9.702970297029703
BMC bioinformatics	2011	2.0316027088036117	44.01805869074492	46.50112866817156	7.44920993227991
BMC bioinformatics	2012	2.387267904509284	45.62334217506631	41.90981432360743	10.079575596816976
BMC bioinformatics	2013	4.028436018957346	45.023696682464454	40.99526066350711	9.95260663507109
BMC bioinformatics	2014	4.8346055979643765	47.837150127226465	41.221374045801525	6.106870229007634
BMC bioinformatics	2015	8.04289544235925	40.48257372654155	45.30831099195711	6.166219839142091
BMC bioinformatics	2016	16.181229773462782	39.48220064724919	38.83495145631068	5.501618122977346
BMC bioinformatics	2017	21.122994652406415	34.224598930481285	41.97860962566845	2.6737967914438503
BMC bioinformatics	2018	25.649350649350648	30.194805194805195	41.883116883116884	2.272727272727273
BMC bioinformatics	2019	29.646017699115045	25.663716814159294	43.14159292035398	1.5486725663716814
BMC bioinformatics	2020	35.42857142857143	25.428571428571427	38.0	1.1428571428571428
BMC bioinformatics	2021	47.66355140186916	19.937694704049843	31.77570093457944	0.6230529595015576
BMC bioinformatics	2022	42.20963172804532	19.26345609065156	37.960339943342774	0.56657223796034
BMC bioinformatics	2023	47.77777777777778	20.0	31.48148148148148	0.7407407407407407
BMC bioinformatics	2024	58.44155844155844	11.255411255411255	30.303030303030305	0.0
BMC bioinformatics	2025	58.333333333333336	11.30952380952381	30.357142857142858	0.0
BMC genomics	2010	0.8528784648187633	68.86993603411514	22.388059701492537	7.889125799573561
BMC genomics	2011	0.9009009009009009	70.04504504504504	19.36936936936937	9.684684684684685
BMC genomics	2012	0.9633911368015414	68.20809248554913	22.928709055876684	7.89980732177264
BMC genomics	2013	2.254428341384863	70.69243156199678	19.162640901771336	7.890499194847021
BMC genomics	2014	2.751196172248804	73.80382775119617	18.660287081339714	4.784688995215311
BMC genomics	2015	4.849279161205767	71.82175622542594	17.82437745740498	5.504587155963303
BMC genomics	2016	9.782608695652174	70.65217391304348	15.838509316770187	3.7267080745341614
BMC genomics	2017	12.355848434925864	66.22734761120263	18.616144975288304	2.800658978583196
BMC genomics	2018	15.953947368421053	65.625	17.269736842105264	1.1513157894736843
BMC genomics	2019	18.75	65.7051282051282	14.423076923076923	1.1217948717948718
BMC genomics	2020	23.68421052631579	59.10931174089069	16.39676113360324	0.8097165991902834
BMC genomics	2021	22.957198443579767	62.06225680933852	13.618677042801556	1.3618677042801557
BMC genomics	2022	23.35907335907336	58.49420849420849	15.444015444015443	2.7027027027027026
BMC genomics	2023	24.152542372881356	58.898305084745765	14.40677966101695	2.542372881355932
BMC genomics	2024	25.142045454545453	54.26136363636363	17.755681818181817	2.840909090909091
BMC genomics	2025	24.108658743633278	59.25297113752122	14.431239388794568	2.2071307300509337
Bioinformatics (Oxford, England)	2010	0.6802721088435374	37.414965986394556	43.53741496598639	18.367346938775512
Bioinformatics (Oxford, England)	2011	1.7647058823529411	41.1764705882353	44.11764705882353	12.941176470588236
Bioinformatics (Oxford, England)	2012	1.639344262295082	41.80327868852459	40.98360655737705	15.573770491803279
Bioinformatics (Oxford, England)	2013	3.5502958579881656	40.828402366863905	48.5207100591716	7.100591715976331
Bioinformatics (Oxford, England)	2014	7.741935483870968	34.193548387096776	47.096774193548384	10.96774193548387
Bioinformatics (Oxford, England)	2015	10.989010989010989	28.021978021978022	50.0	10.989010989010989
Bioinformatics (Oxford, England)	2016	15.897435897435898	22.564102564102566	52.30769230769231	9.23076923076923
Bioinformatics (Oxford, England)	2017	21.666666666666668	26.11111111111111	46.666666666666664	5.555555555555555
Bioinformatics (Oxford, England)	2018	28.755364806866954	22.746781115879827	43.776824034334766	4.721030042918455
Bioinformatics (Oxford, England)	2019	33.60323886639676	19.4331983805668	44.12955465587044	2.834008097165992
Bioinformatics (Oxford, England)	2020	35.609756097560975	16.097560975609756	42.926829268292686	5.365853658536586
Bioinformatics (Oxford, England)	2021	46.468401486988846	14.12639405204461	38.66171003717472	0.7434944237918215
Bioinformatics (Oxford, England)	2022	51.61290322580645	13.36405529953917	35.02304147465438	0.0
Bioinformatics (Oxford, England)	2023	51.12016293279022	10.386965376782078	38.289205702647656	0.20366598778004075
Bioinformatics (Oxford, England)	2024	57.44186046511628	8.13953488372093	34.41860465116279	0.0
Bioinformatics (Oxford, England)	2025	74.33628318584071	8.55457227138643	17.10914454277286	0.0
Cell	2010	0.0	16.666666666666668	33.333333333333336	50.0
Cell	2011	16.666666666666668	66.66666666666667	0.0	16.666666666666668
Cell	2012	11.764705882352942	64.70588235294117	5.882352941176471	17.647058823529413
Cell	2013	5.2631578947368425	73.6842105263158	10.526315789473685	10.526315789473685
Cell	2014	0.0	64.70588235294117	11.764705882352942	23.529411764705884
Cell	2015	0.0	72.0	0.0	28.0
Cell	2016	8.823529411764707	67.6470588235294	8.823529411764707	14.705882352941176
Cell	2017	22.727272727272727	63.63636363636363	4.545454545454546	9.090909090909092
Cell	2018	44.680851063829785	38.297872340425535	8.51063829787234	8.51063829787234
Cell	2019	44.680851063829785	42.5531914893617	10.638297872340425	2.127659574468085
Cell	2020	38.888888888888886	37.96296296296296	8.333333333333334	14.814814814814815
Cell	2021	39.63963963963964	46.846846846846844	4.504504504504505	9.00900900900901
Cell	2022	46.666666666666664	38.666666666666664	9.333333333333334	5.333333333333333
Cell	2023	61.666666666666664	35.0	1.6666666666666667	1.6666666666666667
Cell	2024	53.84615384615385	44.23076923076923	1.9230769230769231	0.0
Cell	2025	60.0	32.0	4.0	4.0
Cell genomics	2010	0.0	0.0	0.0	0.0
Cell genomics	2011	0.0	0.0	0.0	0.0
Cell genomics	2012	0.0	0.0	0.0	0.0
Cell genomics	2013	0.0	0.0	0.0	0.0
Cell genomics	2014	0.0	0.0	0.0	0.0
Cell genomics	2015	0.0	0.0	0.0	0.0
Cell genomics	2016	0.0	0.0	0.0	0.0
Cell genomics	2017	0.0	0.0	0.0	0.0
Cell genomics	2018	0.0	0.0	0.0	0.0
Cell genomics	2019	0.0	0.0	0.0	0.0
Cell genomics	2020	0.0	0.0	0.0	0.0
Cell genomics	2021	63.63636363636363	9.090909090909092	27.272727272727273	0.0
Cell genomics	2022	75.51020408163265	16.3265306122449	4.081632653061225	4.081632653061225
Cell genomics	2023	84.15841584158416	7.920792079207921	6.930693069306931	0.9900990099009901
Cell genomics	2024	76.61290322580645	13.709677419354838	5.645161290322581	4.032258064516129
Cell genomics	2025	73.11827956989248	15.053763440860216	7.526881720430108	4.301075268817204
EMBO reports	2010	0.0	42.857142857142854	7.142857142857143	50.0
EMBO reports	2011	0.0	40.0	10.0	50.0
EMBO reports	2012	0.0	60.0	0.0	40.0
EMBO reports	2013	0.0	42.857142857142854	21.428571428571427	35.714285714285715
EMBO reports	2014	0.0	33.333333333333336	16.666666666666668	50.0
EMBO reports	2015	14.285714285714286	60.714285714285715	0.0	25.0
EMBO reports	2016	9.375	56.25	15.625	18.75
EMBO reports	2017	24.137931034482758	48.275862068965516	17.24137931034483	10.344827586206897
EMBO reports	2018	10.0	55.0	35.0	0.0
EMBO reports	2019	20.338983050847457	57.6271186440678	16.949152542372882	5.084745762711864
EMBO reports	2020	15.044247787610619	48.67256637168141	30.088495575221238	6.1946902654867255
EMBO reports	2021	19.37984496124031	53.48837209302326	22.48062015503876	4.651162790697675
EMBO reports	2022	29.365079365079364	43.65079365079365	25.396825396825395	1.5873015873015872
EMBO reports	2023	38.25503355704698	37.58389261744966	24.161073825503355	0.0
EMBO reports	2024	43.72623574144487	33.07984790874525	21.673003802281368	1.520912547528517
EMBO reports	2025	48.78048780487805	30.73170731707317	20.48780487804878	0.0
Frontiers in genetics	2010	0.0	50.0	0.0	50.0
Frontiers in genetics	2011	0.0	28.82882882882883	27.92792792792793	43.24324324324324
Frontiers in genetics	2012	0.31446540880503143	38.679245283018865	19.18238993710692	41.82389937106918
Frontiers in genetics	2013	2.158273381294964	35.611510791366904	22.66187050359712	39.568345323741006
Frontiers in genetics	2014	3.5789473684210527	40.8421052631579	22.31578947368421	33.26315789473684
Frontiers in genetics	2015	2.542372881355932	46.89265536723164	18.64406779661017	31.92090395480226
Frontiers in genetics	2016	3.7735849056603774	43.39622641509434	23.11320754716981	29.71698113207547
Frontiers in genetics	2017	5.936073059360731	48.401826484018265	20.54794520547945	25.114155251141554
Frontiers in genetics	2018	6.456043956043956	50.27472527472528	17.582417582417584	25.686813186813186
Frontiers in genetics	2019	11.74325309992706	48.94237782640408	25.309992706053976	14.00437636761488
Frontiers in genetics	2020	10.257847533632287	55.77354260089686	24.43946188340807	9.52914798206278
Frontiers in genetics	2021	10.955459770114942	52.76580459770115	24.245689655172413	12.033045977011493
Frontiers in genetics	2022	7.252440725244073	53.80753138075314	25.913528591352858	13.02649930264993
Frontiers in genetics	2023	9.67741935483871	49.82841455044612	24.776938915579958	15.71722717913521
Frontiers in genetics	2024	9.145129224652088	45.92445328031809	28.429423459244532	16.50099403578529
Frontiers in genetics	2025	8.695652173913043	48.29192546583851	28.41614906832298	14.596273291925465
Genome biology	2010	1.5873015873015872	64.55026455026454	12.16931216931217	21.693121693121693
Genome biology	2011	0.7092198581560284	66.66666666666667	14.184397163120567	18.43971631205674
Genome biology	2012	5.833333333333333	64.16666666666667	15.833333333333334	14.166666666666666
Genome biology	2013	9.558823529411764	63.23529411764706	11.029411764705882	16.176470588235293
Genome biology	2014	17.613636363636363	60.79545454545455	11.363636363636363	10.227272727272727
Genome biology	2015	24.427480916030536	57.25190839694657	10.687022900763358	7.633587786259542
Genome biology	2016	33.60655737704918	50.81967213114754	7.377049180327869	8.19672131147541
Genome biology	2017	47.15447154471545	37.39837398373984	7.317073170731708	8.130081300813009
Genome biology	2018	43.80165289256198	43.80165289256198	7.43801652892562	4.958677685950414
Genome biology	2019	58.55263157894737	36.8421052631579	4.605263157894737	0.0
Genome biology	2020	70.96774193548387	24.516129032258064	3.870967741935484	0.6451612903225806
Genome biology	2021	72.8643216080402	23.618090452261306	3.5175879396984926	0.0
Genome biology	2022	73.37662337662337	24.025974025974026	2.5974025974025974	0.0
Genome biology	2023	78.44311377245509	17.964071856287426	2.9940119760479043	0.5988023952095808
Genome biology	2024	79.80295566502463	16.748768472906406	3.4482758620689653	0.0
Genome biology	2025	82.98969072164948	15.97938144329897	1.0309278350515463	0.0
Genome research	2010	0.0	0.0	0.0	0.0
Genome research	2011	0.0	0.0	0.0	0.0
Genome research	2012	3.875968992248062	81.3953488372093	12.4031007751938	2.3255813953488373
Genome research	2013	3.7735849056603774	79.87421383647799	12.578616352201259	3.7735849056603774
Genome research	2014	7.407407407407407	80.8641975308642	10.493827160493828	1.2345679012345678
Genome research	2015	15.602836879432624	75.177304964539	8.51063829787234	0.7092198581560284
Genome research	2016	16.666666666666668	77.77777777777777	3.9682539682539684	1.5873015873015872
Genome research	2017	33.333333333333336	58.490566037735846	6.918238993710692	1.2578616352201257
Genome research	2018	40.25974025974026	51.298701298701296	7.792207792207792	0.6493506493506493
Genome research	2019	46.012269938650306	45.39877300613497	7.975460122699387	0.6134969325153374
Genome research	2020	51.32743362831859	40.70796460176991	7.964601769911504	0.0
Genome research	2021	54.3859649122807	35.67251461988304	9.941520467836257	0.0
Genome research	2022	61.6	28.8	8.0	1.6
Genome research	2023	75.0	14.393939393939394	10.606060606060606	0.0
Genome research	2024	79.38144329896907	9.278350515463918	11.34020618556701	0.0
Genome research	2025	76.5625	14.0625	9.375	0.0
Lancet (London, England)	2010	0.0	7.6923076923076925	23.076923076923077	69.23076923076923
Lancet (London, England)	2011	0.0	0.0	25.925925925925927	74.07407407407408
Lancet (London, England)	2012	0.0	11.764705882352942	32.35294117647059	55.88235294117647
