journal	UR_not_UR	UR_UR & genuine==0	UR_UR & genuine==1	OSSI_Gold	OSSI_Silver	OSSI_Bronze	OSSI_None
Genome research	98.71106337271752	0.8055853920515575	0.4833512352309345	37.70139634801289	52.14822771213748	9.07626208378088	1.0741138560687433
Bioinformatics (Oxford, England)	98.20615796519411	1.7402945113788488	0.0535475234270415	35.42168674698795	20.160642570281123	39.75903614457831	4.658634538152611
NAR genomics and bioinformatics	97.70318021201413	1.9434628975265018	0.35335689045936397	70.31802120141343	19.257950530035334	10.424028268551236	0.0
Lancet (London, England)	97.31437598736177	1.8957345971563981	0.7898894154818324	0.7898894154818326	11.848341232227488	24.486571879936808	62.87519747235387
Frontiers in genetics	97.07893563252564	2.2818492641593577	0.6392151033149993	9.171993459194292	50.052029136316335	26.27471383975026	14.50126356473911
PLoS biology	96.43598615916954	2.283737024221453	1.2802768166089966	30.346020761245676	38.16608996539792	19.30795847750865	12.179930795847751
PLoS genetics	96.17505781889344	1.4943960149439601	2.3305461661626046	19.160291763031488	50.613769791851986	16.580679594378225	13.645258850738303
Genome biology	95.8790004384042	2.8496273564226215	1.2713722051731697	49.671196843489696	39.631740464708464	6.313020604997808	4.384042086804033
Molecular systems biology	95.02196193265007	3.22108345534407	1.7569546120058566	38.21376281112738	38.79941434846266	19.03367496339678	3.953147877013177
eLife	94.6349334409036	3.3481242436466316	2.016942315449778	37.565550625252115	40.328761597418314	19.766034691407825	2.339653085921743
Nucleic acids research	94.45935714777342	4.24667905568174	1.2939637965448414	12.843278959322733	56.053410420538235	15.451854910867919	15.651455709271113
BMC bioinformatics	93.83954154727793	5.927650429799427	0.2328080229226361	21.758595988538683	33.90042979942693	39.89971346704871	4.441260744985673
BMC genomics	92.70922288642186	6.746370623398805	0.5444064901793338	13.001707941929974	65.75576430401367	17.324935952177626	3.917591801878736
EMBO reports	92.11908931698774	5.866900175131348	2.0140105078809105	33.18739054290718	40.54290718038529	21.015761821366024	5.253940455341506
Nature genetics	89.97534921939194	7.14872637633525	2.875924404272802	48.64420706655711	29.498767460969596	15.858668857847166	5.99835661462613
Science (New York, N.Y.)	88.7459807073955	7.395498392282958	3.858520900321544	24.115755627009648	57.556270096463024	10.610932475884244	7.717041800643087
The EMBO journal	88.58267716535433	8.727034120734908	2.690288713910761	40.68241469816273	41.46981627296588	13.188976377952756	4.6587926509186355
Cell genomics	87.60563380281691	7.323943661971831	5.070422535211268	81.40845070422536	11.267605633802816	4.788732394366197	2.535211267605634
Nature medicine	81.0576923076923	12.788461538461537	6.153846153846154	17.21153846153846	42.98076923076923	20.96153846153846	18.846153846153847
Nature	79.37779872731558	18.807447560688193	1.8147537119962291	35.965119019561634	42.30497289653547	11.2891821824181	10.440725901484798
Cell	78.86435331230284	14.037854889589903	7.097791798107256	39.27444794952682	45.74132492113565	6.624605678233438	8.3596214511041
Nature communications	63.491338923191506	34.3632126468539	2.1454484299545924	28.991182759531988	32.294644787737546	32.70787785599308	6.006294596737381
