matching	BMC Bioinformatics	BMC Genomics	Bioinformatics	Cell	Cell Genom	Front Genet	Genome Biol	Genome Res	Lancet	NAR Genom Bioinform	Nat Commun	Nat Genet	Nat Med	Nature	Nucleic Acids Res	PLoS Biol	PLoS Genet	Science	eLife
available upon request	44.44444444444444	40.25974025974026	12.5	75.86206896551724	73.52941176470588	50.0	57.14285714285714	100.0	66.66666666666666	40.0	41.16234390009606	76.47058823529412	29.545454545454547	28.333333333333332	36.17886178861789	55.55555555555556	57.14285714285714	61.53846153846154	62.91079812206573
data are available from the corresponding author upon request	0.0	3.896103896103896	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.23342939481268	0.0	0.0	0.8333333333333334	0.0	0.0	0.0	0.0	0.0
available on request	0.0	24.675324675324674	7.5	10.344827586206897	5.88235294117647	16.666666666666664	21.428571428571427	0.0	0.0	0.0	7.684918347742556	5.88235294117647	9.090909090909092	29.166666666666668	2.0325203252032518	0.0	21.428571428571427	7.6923076923076925	13.145539906103288
available upon reasonable request	22.22222222222222	5.194805194805195	0.0	10.344827586206897	8.823529411764707	16.666666666666664	0.0	0.0	0.0	0.0	3.45821325648415	11.76470588235294	31.818181818181817	9.166666666666666	7.317073170731707	3.7037037037037033	0.0	23.076923076923077	7.511737089201878
data are available upon request	0.0	3.896103896103896	2.5	0.0	0.0	3.3333333333333335	0.0	0.0	33.33333333333333	0.0	4.274735830931797	5.88235294117647	2.272727272727273	2.5	6.504065040650407	11.11111111111111	3.571428571428571	0.0	1.8779342723004695
shared on reasonable request	0.0	1.2987012987012987	42.5	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	2.272727272727273	0.8333333333333334	29.67479674796748	0.0	0.0	0.0	0.0
provided upon request	0.0	1.2987012987012987	2.5	0.0	0.0	0.0	7.142857142857142	0.0	0.0	0.0	2.1133525456292026	0.0	4.545454545454546	1.6666666666666667	4.0650406504065035	7.4074074074074066	3.571428571428571	7.6923076923076925	5.164319248826291
data are available from the corresponding author on request	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.49759846301633	0.0	0.0	3.3333333333333335	0.40650406504065045	0.0	0.0	0.0	0.0
data is available upon request	11.11111111111111	1.2987012987012987	0.0	0.0	2.941176470588235	0.0	0.0	0.0	0.0	0.0	2.0172910662824206	0.0	4.545454545454546	0.0	0.40650406504065045	7.4074074074074066	0.0	0.0	0.4694835680751174
data are available from the corresponding author upon reasonable request	0.0	1.2987012987012987	2.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.777137367915466	0.0	0.0	2.5	1.2195121951219512	0.0	3.571428571428571	0.0	0.0
shared upon request	0.0	1.2987012987012987	2.5	0.0	0.0	0.0	0.0	0.0	0.0	20.0	1.440922190201729	0.0	4.545454545454546	0.0	0.8130081300813009	3.7037037037037033	0.0	0.0	3.286384976525822
data are available on request	0.0	0.0	2.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2007684918347743	0.0	0.0	3.3333333333333335	0.40650406504065045	0.0	0.0	0.0	0.4694835680751174
data is available from the corresponding author upon request	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.440922190201729	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
shared on request	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.48030739673390976	0.0	2.272727272727273	1.6666666666666667	2.8455284552845526	0.0	0.0	0.0	0.4694835680751174
data are available upon reasonable request	0.0	1.2987012987012987	0.0	0.0	0.0	0.0	7.142857142857142	0.0	0.0	0.0	0.2881844380403458	0.0	4.545454545454546	3.3333333333333335	2.8455284552845526	0.0	7.142857142857142	0.0	0.4694835680751174
available on reasonable request	11.11111111111111	1.2987012987012987	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.38424591738712777	0.0	2.272727272727273	5.0	0.40650406504065045	0.0	0.0	0.0	0.4694835680751174
data are available from the corresponding author on reasonable request	0.0	3.896103896103896	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19212295869356388	0.0	0.0	4.166666666666666	0.8130081300813009	0.0	0.0	0.0	0.0
shared upon reasonable request	0.0	2.5974025974025974	2.5	0.0	0.0	3.3333333333333335	0.0	0.0	0.0	0.0	0.19212295869356388	0.0	0.0	0.0	2.0325203252032518	0.0	0.0	0.0	0.0
data available on request	0.0	1.2987012987012987	2.5	0.0	2.941176470588235	3.3333333333333335	0.0	0.0	0.0	0.0	0.19212295869356388	0.0	0.0	0.0	0.40650406504065045	7.4074074074074066	0.0	0.0	0.0
data is available from the corresponding author on request	0.0	0.0	0.0	0.0	0.0	3.3333333333333335	0.0	0.0	0.0	0.0	0.43227665706051877	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
provided on request	11.11111111111111	0.0	2.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19212295869356388	0.0	0.0	1.6666666666666667	0.0	0.0	0.0	0.0	0.4694835680751174
provided upon reasonable request	0.0	1.2987012987012987	0.0	3.4482758620689653	0.0	0.0	0.0	0.0	0.0	0.0	0.19212295869356388	0.0	0.0	0.0	0.0	3.7037037037037033	0.0	0.0	0.4694835680751174
data is available on request	0.0	0.0	0.0	0.0	2.941176470588235	3.3333333333333335	7.142857142857142	0.0	0.0	0.0	0.19212295869356388	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4694835680751174
data available upon request	0.0	0.0	2.5	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.19212295869356388	0.0	0.0	0.8333333333333334	0.0	0.0	0.0	0.0	0.0
available on demand	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1440922190201729	0.0	0.0	0.0	0.40650406504065045	0.0	0.0	0.0	1.4084507042253522
data available upon reasonable request	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04803073967339097	0.0	0.0	0.0	0.0	0.0	3.571428571428571	0.0	0.4694835680751174
available under request	0.0	0.0	2.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09606147934678194	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
data is available from the corresponding author upon reasonable request	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09606147934678194	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
