section	count
no_section	2151
Data availability	287
Methods	281
Materials and methods	168
STAR*Methods	24
Resource availability	23
Data availability statement	19
Data and materials availability:	8
RESOURCE AVAILABILITY	7
Funding	6
Discussion	6
STAR*METHODS	4
Materials and Methods	4
Results	4
Material and methods	3
Introduction	3
Availability and implementation	3
Materials and methods	2
Code availability	2
2 Materials and methods	2
Resource Availability	1
Results and discussion	1
Reagent availability	1
STAR METHODS	1
STAR Methods	1
Supplemental information	1
Supporting information	1
Method details	1
2 Materials and method	1
Materials availability	1
Materials and correspondence	1
Implementation	1
Experimental procedures	1
Data availability	1
Data and materials availability	1
Data access	1
Data And Materials Availability	1
Case description	1
Availability of data and materials	1
3 Simulation study	1
3 Results and discussion	1
3 Experimental setup	1
2 Results and discussion	1
2 Methods	1
unlabeled	1
