journal	ok_analysis_1_total	not_ur	ur_genuine_0	ur_genuine_1	not_ur_pct	ur_g0_pct	ur_g1_pct	total_ur_pct
Nature communications	41623	26427	14303	893	63.491338923191506	34.3632126468539	2.1454484299545924	36.508661076808494
Cell	634	500	89	45	78.86435331230284	14.037854889589903	7.097791798107256	21.13564668769716
Nature	4243	3368	798	77	79.37779872731558	18.807447560688193	1.8147537119962291	20.62220127268442
Nature medicine	1040	843	133	64	81.0576923076923	12.788461538461537	6.153846153846154	18.94230769230769
Cell genomics	355	311	26	18	87.60563380281691	7.323943661971831	5.070422535211268	12.3943661971831
The EMBO journal	1524	1350	133	41	88.58267716535433	8.727034120734908	2.690288713910761	11.417322834645669
Science (New York, N.Y.)	311	276	23	12	88.7459807073955	7.395498392282958	3.858520900321544	11.254019292604502
Nature genetics	1217	1095	87	35	89.97534921939194	7.14872637633525	2.875924404272802	10.024650780608052
EMBO reports	1142	1052	67	23	92.11908931698774	5.866900175131348	2.0140105078809105	7.880910683012258
BMC genomics	9368	8685	632	51	92.70922288642186	6.746370623398805	0.5444064901793338	7.290777113578139
BMC bioinformatics	5584	5240	331	13	93.83954154727793	5.927650429799427	0.2328080229226361	6.160458452722063
Nucleic acids research	14529	13724	617	188	94.45935714777342	4.24667905568174	1.2939637965448414	5.540642852226582
eLife	9916	9384	332	200	94.6349334409036	3.3481242436466316	2.016942315449778	5.36506655909641
Molecular systems biology	683	649	22	12	95.02196193265007	3.22108345534407	1.7569546120058566	4.978038067349926
Genome biology	2281	2187	65	29	95.8790004384042	2.8496273564226215	1.2713722051731697	4.1209995615957915
PLoS genetics	5621	5406	84	131	96.17505781889344	1.4943960149439601	2.3305461661626046	3.8249421811065645
PLoS biology	2890	2787	66	37	96.43598615916954	2.283737024221453	1.2802768166089966	3.56401384083045
Frontiers in genetics	13454	13061	307	86	97.07893563252564	2.2818492641593577	0.6392151033149993	2.921064367474357
Lancet (London, England)	633	616	12	5	97.31437598736177	1.8957345971563981	0.7898894154818324	2.6856240126382307
NAR genomics and bioinformatics	566	553	11	2	97.70318021201413	1.9434628975265018	0.35335689045936397	2.2968197879858656
Bioinformatics (Oxford, England)	3735	3668	65	2	98.20615796519411	1.7402945113788488	0.0535475234270415	1.7938420348058903
Genome research	1862	1838	15	9	98.71106337271752	0.8055853920515575	0.4833512352309345	1.288936627282492
